id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-30	73.5	26.10233	31.20381	195.9562	86	64.55476	3.6	1,1,1,1
3	spot	0	73.5	94.531	53.49226	179.7763	100	40	3.6	1,1,1,1
4	spot	0	73.5	130.1568	52.50164	190.2214	100	40	3.6	1,1,1,1
5	spot	-30	73.5	136.8719	51.51106	266.9678	100	40	4.056076	1,1,1,1
7	spot	0	73.5	146.6489	49.52985	284.0466	100	40	3.6	1,1,1,1
8	spot	0	73.5	154.392	54.97814	0	100	57.59148	4.642457	1,1,1,1
9	spot	30	73.5	100.2936	37.1474	0	100	38.16756	2.459812	1,1,1,1
10	spot	30	73.5	65.46718	38.13799	0	100	40.36649	2.134043	1,1,1,1
12	spot	0	73.5	44.23795	0	0	100	40	3.6	1,1,1,1
